country,both,female,male
Afghanistan,18.3,24.8,16.5
Albania,20.2,16.2,23.2
Algeria,30.7,23.3,32
Angola,8.1,1.1,15.2
Argentina,21,8.6,30.2
Armenia,17.5,9.2,24.5
Australia,19.8,8,30
Austria,25,11.6,36.7
Azerbaijan,15,6.1,23.2
Bahamas,14,2.9,23.9
Bahrain,35.1,8.6,41.4
Bangladesh,21.6,18.3,23.1
Barbados,18.9,9,28.5
Belarus,30.2,18.5,41.8
Belgium,20.6,8.3,31.3
Belize,15.7,9.3,19.6
Benin,19.1,16.5,21.6
Bhutan,11.1,10.4,11.5
Bolivia (Plurin. State of),19.4,10.1,26.6
Bosnia and Herzegovina,32.3,17.9,41.1
Botswana,18.1,9.4,25.7
Brazil,19.6,10.3,26.5
Brunei Darussalam,15.8,8.9,20.9
Bulgaria,30.1,22.1,37
Burkina Faso,33.9,33.8,34.1
Burundi,1.4,0.4,2.6
Cabo Verde,22.1,11,31
Cambodia,29.6,27.8,31.3
Cameroon,15.1,11.3,18.3
Canada,19.4,8.3,29.4
Central African Republic,5.4,2.7,7.7
Chad,2.1,0.6,3.4
Channel Islands,22.9,10.2,33
Chile,22,9.9,30.8
China,28.2,25.1,30.6
"China, Hong Kong SAR",11.5,3.9,19.1
"China, Macao SAR",9.5,2.5,16.1
Colombia,20,14.6,23.8
Comoros,13,9.7,15.5
Congo,21.7,21,22.5
Costa Rica,19.8,10.8,25.2
Côte d’Ivoire,13.4,10.8,15.4
Croatia,27.5,14.9,38.2
Cuba,16.8,10.1,21
Cyprus,16.3,6.1,24.8
Czechia,37.1,23.4,48.2
Dem. People's Rep. Korea,13.2,6.8,19.1
Dem. Rep. of the Congo,9.8,3.5,15.8
Denmark,18.3,8.4,27.1
Djibouti,13.3,7.6,17
Dominican Republic,19.9,9.3,26.8
Ecuador,18.2,10.6,23.3
Egypt,28.2,7.2,33.7
El Salvador,22.1,17.2,25.6
Equatorial Guinea,18.5,10.2,23.4
Eritrea,8.5,4.5,11.8
Estonia,29.4,16.8,41
Eswatini,23.5,22.2,24.7
Ethiopia,10.4,9.8,10.8
Fiji,13.3,8.4,15.7
Finland,22,8.7,34.4
France,19.9,9.3,29.7
French Polynesia,14.6,4.9,21.9
Gabon,10.8,2.8,15.2
Gambia,15.8,4,24.5
Georgia,14.2,5.8,21.3
Germany,26.8,13.5,38.3
Ghana,22.2,24.1,20.6
Greece,15.2,7.6,20.5
Guam,14.3,3.5,21.6
Guatemala,18.4,16.5,19.4
Guinea,6.2,2.1,11.2
Guinea-Bissau,7,4.2,9.6
Guyana,22.9,8.1,31.9
Haiti,6.6,1.9,10.7
Honduras,19.7,17.4,21.1
Hungary,32.8,20,43.5
Iceland,16.1,6.8,24.4
India,26.2,17.9,28.2
Indonesia,22.7,17.1,26.3
Iran (Islamic Republic of),30.3,24.3,31.6
Iraq,22.4,10.7,23.8
Ireland,18.5,8.2,27.4
Israel,16.8,7.6,25.1
Italy,25.6,12.7,35
Jamaica,16.2,6,24.5
Japan,24.1,13.8,32.2
Jordan,24.4,12.9,26.6
Kazakhstan,20.5,11.2,29
Kenya,7.4,2,12.6
Kuwait,24.4,3.3,31
Kyrgyzstan,24.7,14.7,30.8
Lao People's Dem. Rep.,12.2,9,15.2
Latvia,23.7,12.7,34.8
Lebanon,22.3,14,24.8
Lesotho,41.9,30.8,50.4
Liberia,10.1,4.9,14.9
Libya,21.7,11.3,26.5
Lithuania,25.9,16.4,35.5
Luxembourg,11.5,4,17.9
Madagascar,9.1,8.6,9.5
Malawi,13.8,10.1,17.2
Malaysia,26.8,19,31.7
Maldives,18.3,20.8,17.7
Mali,7.6,5.2,9.4
Malta,18,8.5,24.6
Mauritania,13.1,10.1,14.5
Mauritius,25.1,15.5,31
Mexico,26.2,17.6,31.4
Mongolia,19.5,11.9,25.9
Montenegro,19.2,7.7,28.1
Morocco,21.8,12.5,24.7
Mozambique,8.6,3,14.6
Myanmar,16.3,15.2,17
Namibia,16.4,7.9,24.6
Nepal,15.3,8.3,24.1
Netherlands,15.8,6.1,24.2
New Caledonia,20.7,6.7,32
New Zealand,19.4,9,28.8
Nicaragua,15.6,11.7,18
Niger,7.2,11,4.4
Nigeria,12.2,12.8,11.8
North Macedonia,31.4,26.5,34.7
Norway,19.1,6.7,30.1
Oman,32.8,4.1,36.5
Pakistan,25.8,17.3,28
Panama,18.8,9.7,24.8
Papua New Guinea,6.7,2.7,10.5
Paraguay,17.9,7.7,24.8
Peru,15.3,8.5,21
Philippines,19.8,9.8,26.2
Poland,32,17.2,43.9
Portugal,24.6,15,33.7
Puerto Rico,15.5,7.9,21.5
Qatar,54.4,6.4,62
Republic of Korea,25,13.2,33.6
Republic of Moldova,17.1,11.8,22.4
Romania,30.1,21.4,36.8
Russian Federation,26.6,15.5,37.1
Rwanda,9.1,2.9,15.7
Saint Lucia,18.3,7.1,27.1
Saint Vincent & Grenadines,19.9,6.7,29.5
Samoa,23.3,33.2,18.2
Sao Tome and Principe,18.5,3.3,25.9
Saudi Arabia,24.8,2.1,28.2
Senegal,13.6,5.5,19
Serbia,27.4,18.9,33.9
Sierra Leone,6.5,1.4,11.7
Singapore,15.2,10.4,18.6
Slovakia,36.1,20.1,49.2
Slovenia,33.5,20.2,44.8
Solomon Islands,9.6,4.2,14.6
Somalia,3.5,1.6,4.1
South Africa,22.7,11.3,31.7
South Sudan,14.1,8,20
Spain,20.2,8.9,29.4
Sri Lanka,30.4,28.4,31.4
State of Palestine,31.7,9.6,36
Sudan,15.9,4.3,20
Suriname,23.5,7.1,32.9
Sweden,17.7,6.8,27.7
Switzerland,20,9.5,29.1
Syrian Arab Republic,26.5,7.7,29.6
Tajikistan,16,7.4,21.1
Thailand,22.5,19.6,25
Timor-Leste,9.8,7.8,11.5
Togo,12.9,13.1,12.7
Tonga,29.2,51.3,15.3
Trinidad and Tobago,26.6,12.4,37.2
Tunisia,32.5,32.6,32.4
Turkey,26.1,15.5,31.1
Turkmenistan,42.6,38.3,45.7
Uganda,6.6,3.2,9.9
Ukraine,24.8,13.7,34.8
United Arab Emirates,34.2,5.4,40.1
United Kingdom,17.7,7.2,26.9
United Rep. of Tanzania,6.8,3.1,10.2
United States of America,19.7,8.6,29.2
United States Virgin Islands,19.6,7.5,32.4
Uruguay,18.7,8.2,27.1
Uzbekistan,29.9,17.4,38.6
Vanuatu,6.3,2.3,9.4
Venezuela (Boliv. Rep. of),16.1,7.7,21.5
Viet Nam,28.4,23.7,32.7
Western Sahara,10,10.9,9.9
Yemen,10.8,4.4,16.7
Zambia,6.5,1.9,11.3
Zimbabwe,66.3,,
